Gemeinde,coordinatex,coordinatey,name,streetNumber,zip,region,telephone,fax,openingHours,markettype,uid
Schaffhausen,47.695515,8.640286,SPAR Supermarkt Schweizerhof,Freier Platz 2,8200,"{'isoCode': 'SH', 'localName': 'Schaffhausen', 'nameEn': 'Schaffhausen', 'uid': 120}",052 620 08 15,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1073}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9377}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9378}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9379}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9380}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9381}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",596
Baden - Rütihof,47.438542,8.271346,SPAR Supermarkt Baden-Rütihof,Fislisbacherstr. 4,5406,"{'isoCode': 'AG', 'localName': 'Aargau', 'nameEn': 'Aargau', 'uid': 104}",056 493 22 93,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1151}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9645}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9646}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9647}, {'pretext': 'Freitag', 'date': None, 'text': '07:00\xa0- 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9648}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1152}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",631
Ilanz,46.77407,9.206413,SPAR Supermarkt Ilanz,Glennerstrasse 10,7130,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 925 23 81,,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1156}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9448}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9449}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9450}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9451}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr ', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1157}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",633
Eschen FL,47.212413,9.523053,SPAR Supermarkt Eschen,St. Martins Ring 3,9492,,00423 375 02 02,00423 375 02 03,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3666}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9472}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9473}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9474}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9475}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 16:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3665}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",662
Heerbrugg,47.41518,9.63208,SPAR Supermarkt Heerbrugg,Auerstrasse 31,9435,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",071 722 37 37,071 722 80 37,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3669}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9480}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9481}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9482}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9483}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3670}, {'pretext': 'Sonntag', 'date': None, 'text': 'geschlossen', 'posttext': '', 'group': '', 'uid': 7778}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",663
Triesen,47.11603,9.524065,SPAR Supermarkt Triesen,Maschlinastrasse 4,9495,,+423 390 00 74,+423 390 00 75,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': '', 'group': '', 'uid': 3724}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': '', 'group': '', 'uid': 9500}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': '', 'group': '', 'uid': 9501}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': '', 'group': '', 'uid': 9502}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 19:30 Uhr', 'posttext': '', 'group': '', 'uid': 9503}, {'pretext': 'Samstag', 'date': None, 'text': '08:00 - 17:00 Uhr', 'posttext': '', 'group': '', 'uid': 3725}, {'pretext': 'Sonntag', 'date': None, 'text': '08:00 - 17:00 Uhr', 'posttext': '', 'group': '', 'uid': 3726}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",804
Biberist,47.186901,7.555211,SPAR Supermarkt Biberist,Blümlisalpstrasse 1,4562,"{'isoCode': 'SO', 'localName': 'Solothurn', 'nameEn': 'Solothurn', 'uid': 121}",032 686 88 90,032 686 88 91,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 – 18:30 Uhr', 'posttext': '', 'group': '', 'uid': 5412}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 – 18:30 Uhr', 'posttext': '', 'group': '', 'uid': 9504}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 – 18:30 Uhr', 'posttext': '', 'group': '', 'uid': 9505}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 – 18:30 Uhr', 'posttext': '', 'group': '', 'uid': 9506}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 – 21:00 Uhr', 'posttext': '', 'group': '', 'uid': 5413}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 – 18:00 Uhr', 'posttext': '', 'group': '', 'uid': 5414}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",811
Menznau,47.083984,8.044511,SPAR Supermarkt Menznau,Sonnhaldenstrasse,6122,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",041 494 91 91,041 494 91 92,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7219}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9520}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9521}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9522}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9523}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 16:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7220}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",817
Klosters,46.861907,9.892636,SPAR Klosters,Doggilochstrasse 96,7250,"{'isoCode': 'GR', 'localName': 'Graubünden', 'nameEn': 'Graubünden', 'uid': 113}",081 420 28 66,,"[{'pretext': 'Montag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7976}, {'pretext': 'Dienstag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9532}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9533}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9534}, {'pretext': 'Freitag', 'date': None, 'text': '06:30 - 18:30 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9535}, {'pretext': 'Samstag', 'date': None, 'text': '06:30 - 17:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7977}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",822
Schlieren,47.397775,8.431597,SPAR Supermarkt Schlieren,Badenerstrasse 104,8952,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",041 414 17 10,041 414 17 11,"[{'pretext': 'Montag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7981}, {'pretext': 'Dienstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9536}, {'pretext': 'Mittwoch', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9537}, {'pretext': 'Donnerstag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9538}, {'pretext': 'Freitag', 'date': None, 'text': '07:00 - 20:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9539}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 18:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 7988}]","{'marketType': 'SPAR Supermarkt', 'uid': 1}",824
Schaffhausen,0,0,SPAR Supermarkt SH Stahlgiesserei,Zur Stahlgiesserei 14a,8200,"{'isoCode': 'SH', 'localName': 'Schaffhausen', 'nameEn': 'Schaffhausen', 'uid': 120}",,,[],"{'marketType': 'SPAR Supermarkt', 'uid': 1}",908
Kreuzlingen,47.643666,9.170984,SPAR express Kreuzlingen mit TS,Bergstrasse 7,8280,"{'isoCode': 'TG', 'localName': 'Thurgau', 'nameEn': 'Thurgau', 'uid': 123}",071 672 22 12,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 3940}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 8868}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 8869}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 8870}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 8871}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 8872}, {'pretext': 'Sonntag', 'date': None, 'text': '08:00 – 20:00 Uhr', 'posttext': '', 'group': '', 'uid': 3941}]","{'marketType': 'SPAR express', 'uid': 2}",809
Zürich,47.411373,8.526461,SPAR express Zürich Regensbergstrasse,Regensbergstrasse 309,8050,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",044 371 96 12,044 371 96 12,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12541}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12542}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12543}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12544}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12545}, {'pretext': 'Samstag', 'date': None, 'text': '08:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12546}, {'pretext': 'Sonntag', 'date': None, 'text': '08:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12547}]","{'marketType': 'SPAR express', 'uid': 2}",644
Uznach,47.227534,8.972483,SPAR express Uznach,Zürcherstrasse 71,8730,"{'isoCode': 'SG', 'localName': 'St. Gallen', 'nameEn': 'St. Gallen', 'uid': 119}",055 280 28 26,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3869}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8900}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8901}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8902}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8903}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 8904}, {'pretext': 'Sonntag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 3870}]","{'marketType': 'SPAR express', 'uid': 2}",806
Aran,46.505511,6.709604,SPAR express Lavaux,Autoroute A9,1091,"{'isoCode': 'VD', 'localName': 'Vaud', 'nameEn': 'Vaud', 'uid': 126}",+41 21 796 12 83,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11966}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11967}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11968}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11969}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11970}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11971}, {'pretext': 'Sonntag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11972}]","{'marketType': 'SPAR express', 'uid': 2}",896
Dierikon,47.098141,8.368118,SPAR express Dierikon,Kantonsstrasse 29,6036,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",+41 62 508 45 17,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 22-00 Uhr', 'posttext': '', 'group': '', 'uid': 11936}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11937}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11938}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11939}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11940}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11941}, {'pretext': 'Sonntag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11942}]","{'marketType': 'SPAR express', 'uid': 2}",892
Eschenbach,47.109635,8.384073,SPAR express Eschenbach,Luzernerstrasse 59,6274,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",041 203 31 83,,"[{'pretext': 'Mo', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11943}, {'pretext': 'Di', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11944}, {'pretext': 'Mi', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11945}, {'pretext': 'Do', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11946}, {'pretext': 'Fr', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11947}, {'pretext': 'Sa', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11948}, {'pretext': 'So', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 11949}]","{'marketType': 'SPAR express', 'uid': 2}",893
Augst,47.535138,7.710317,SPAR express AVIA Augst,Rheinstrasse 34b,4302,"{'isoCode': 'BL', 'localName': 'Basel-Landschaft', 'nameEn': 'Basel Landschaft', 'uid': 108}",+41 62 508 45 06,,"[{'pretext': 'Montag', 'date': None, 'text': '05:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11959}, {'pretext': 'Dienstag', 'date': None, 'text': '05:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11960}, {'pretext': 'Mittwoch', 'date': None, 'text': '05:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11961}, {'pretext': 'Donnerstag', 'date': None, 'text': '05:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11962}, {'pretext': 'Freitag', 'date': None, 'text': '05:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11963}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11964}, {'pretext': 'Sonntag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11965}]","{'marketType': 'SPAR express', 'uid': 2}",895
Pieterlen,47.169218,7.351711,SPAR express Pieterlen,Nationalstrasse A5,2542,"{'isoCode': 'BE', 'localName': 'Bern', 'nameEn': 'Bern', 'uid': 107}",032 378 10 91,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11995}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11996}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11997}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11998}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11999}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12000}, {'pretext': 'Sonntag', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 12001}]","{'marketType': 'SPAR express', 'uid': 2}",898
Luzern,47.053391,8.339276,SPAR express Luzern Seeburgstrasse,Seeburgstrasse 1,6006,"{'isoCode': 'LU', 'localName': 'Luzern', 'nameEn': 'Lucerne', 'uid': 115}",+41 52 508 45 32,,"[{'pretext': 'Mo', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11950}, {'pretext': 'Di', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11951}, {'pretext': 'Mi', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11952}, {'pretext': 'Do', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11953}, {'pretext': 'Fr', 'date': None, 'text': '06:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11954}, {'pretext': 'Sa', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11955}, {'pretext': 'So', 'date': None, 'text': '07:00 - 22:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11956}]","{'marketType': 'SPAR express', 'uid': 2}",894
Forel,46.552804,6.777459,SPAR express Forel (Lavaux),Route de Moudon 13,1072,"{'isoCode': 'VD', 'localName': 'Vaud', 'nameEn': 'Vaud', 'uid': 126}",062 508 46 21,,"[{'pretext': 'Montag', 'date': None, 'text': '6:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12196}, {'pretext': 'Dienstag', 'date': None, 'text': '6:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12197}, {'pretext': 'Mittwoch', 'date': None, 'text': '6:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12198}, {'pretext': 'Donnerstag', 'date': None, 'text': '6:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12199}, {'pretext': 'Freitag', 'date': None, 'text': '6:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12200}, {'pretext': 'Samstag', 'date': None, 'text': '7:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12201}, {'pretext': 'Sonntag', 'date': None, 'text': '7:00 - 22:00 Uhr', 'posttext': '', 'group': '', 'uid': 12202}]","{'marketType': 'SPAR express', 'uid': 2}",901
Altnau,47.617628,9.269131,SPAR express Altnau,Landstrasse 25,8595,"{'isoCode': 'TG', 'localName': 'Thurgau', 'nameEn': 'Thurgau', 'uid': 123}",062 508 45 03,,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11980}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11981}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11982}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11983}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11984}, {'pretext': 'Samstag', 'date': None, 'text': '07:00 - 21:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 11985}, {'pretext': '08:00 - 20:00 Uhr', 'date': None, 'text': 'durchgehend geöffnet', 'posttext': '', 'group': '', 'uid': 11986}]","{'marketType': 'SPAR express', 'uid': 2}",897
Winterthur-Grüze,47.49804,8.747104,SPAR express Winterthur,St. Gallerstrasse 106,8404,"{'isoCode': 'ZH', 'localName': 'Zürich', 'nameEn': 'Zurich', 'uid': 129}",052 232 83 76,052 232 83 85,"[{'pretext': 'Montag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 1008}, {'pretext': 'Dienstag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9312}, {'pretext': 'Mittwoch', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9313}, {'pretext': 'Donnerstag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9314}, {'pretext': 'Freitag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9315}, {'pretext': 'Samstag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9316}, {'pretext': 'Sonntag', 'date': None, 'text': '06:00 - 23:00 Uhr', 'posttext': 'durchgehend geöffnet', 'group': '', 'uid': 9317}]","{'marketType': 'SPAR express', 'uid': 2}",577
